Tax_code	A	B	C	D	E	F	G	H	I	J	K	L	M	N
Hyl_iran	0	0	0	0	0	1	0	0	0	1	0	1	0	0
Hyl_kahr	0	0	1	1	3	0	3	0	1	1	0	0	0	0
Hyl_line	0	0	1	2	0	0	2	0	0	0	0	0	0	0
Hyl_long	0	3	7	16	1	5	1	0	0	0	0	0	0	0
Hyl_meri	0	0	0	1	0	0	0	0	3	0	0	0	0	0
Hyl_punc	0	1	0	0	1	0	0	0	0	0	0	0	0	0
Hyl_syri	0	1	0	0	0	0	1	1	0	0	0	0	0	0
Hyl_taen	0	4	0	5	0	0	0	1	0	0	0	0	0	0
Ict_groh	0	2	0	0	0	2	2	0	1	2	0	0	0	0
Las_aegy	0	0	0	1	1	0	0	0	0	0	0	0	0	0
Las_aera	1	0	4	1	1	3	4	2	0	2	0	1	0	0
Las_alge	0	0	0	0	0	0	0	0	0	2	0	0	0	0
Las_anel	1	1	3	2	6	0	1	0	1	1	0	0	0	0
Las_angu	0	0	0	0	1	1	0	0	0	0	0	0	0	0
Las_annu	0	0	0	0	0	0	0	0	0	1	1	1	0	0
Las_blue	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Las_brev	0	2	0	0	0	0	0	0	3	0	0	0	0	0
Las_casp	0	0	0	0	3	0	0	0	0	0	0	0	0	0
Las_clyp	0	0	0	0	0	1	0	0	0	0	1	0	0	0
Las_corv	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Las_cost	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Las_cris	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Las_cupr	0	0	0	0	0	0	0	0	0	0	0	4	0	1
Las_doli	0	0	0	1	0	11	0	0	0	0	0	0	0	0
Las_elat	0	0	0	1	0	0	0	0	0	1	0	0	0	0
Las_ensl	0	0	0	0	0	3	0	1	0	3	0	0	0	0
Las_eubo	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Las_iran	0	0	0	0	0	0	0	0	0	1	1	1	0	1
Las_laeve	0	0	5	0	0	0	0	3	0	0	0	0	0	0
Las_laevi	0	0	0	1	0	1	0	0	0	0	0	0	0	0
Las_lati	11	0	0	0	0	1	0	0	0	3	0	0	0	0
Las_line	0	0	0	0	0	1	0	0	3	8	0	0	0	0
Las_luci	0	0	1	0	0	0	0	0	0	0	0	1	0	0
Las_mala	0	0	0	0	0	0	0	0	4	0	0	0	0	0
Las_marg	3	1	12	11	3	12	39	25	0	0	0	0	0	0
Las_meso	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Las_mont	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Las_mori	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Las_nigr	0	0	0	0	0	0	0	1	0	0	0	0	0	0
