Site;Artif;Bare;BroadLV;NeedlLV;Plowed;MGramin;NOpen;WOpen;COpen;Water
Terril du sept-huit stat 3;12.506;0.05;17.263;0.713;0.037;21.733;14.437;0;33.191;0.085
Terril n°5 de Trazegnie site 1;7.786;0.252;33.786;1.482;3.301;7.764;0;0;37.932;7.693
Terril n°5 de Trazegnie site 2;10.063;0.603;20.119;1.059;0.027;5.895;0;0;55.978;6.216
Terril n°8 Pays-bas;17.801;0.159;49.645;3.539;0;9.439;0;0;19.362;0.051
Terril Naye-à-bois;15.58;0.031;25.01;0.653;0;32.131;0;0;26.177;0.423
Terril Rieu-du-Coeur;14.833;0.132;16.036;0.889;0;37.473;0;0;30.569;0.058
Terril Sacré-Français site 1;11.163;0.011;34.267;3.641;0;12.231;0;0;38.44;0.234
Terril Sacré-Français site 2;9.046;0.007;35.808;2.949;0;4.747;0;0;47.298;0.15
Terril Saint-Antoine site 1;32.124;0.065;7.412;0.578;0.142;51.828;0;0;7.206;0.66
Terril Saint-Antoine site 2;14.755;0;14.898;0.913;5.152;49.791;0;0;13.314;1.162
Terril Saint-Antoine site 3;20.732;0;19.225;0.256;1.755;36.565;0;0;21.032;0.425
Tilou;4.147;0.035;71.786;3.92;0;10.311;0;0;8.659;1.159
Vertbois Site 1;4.734;1.545;85.806;1.116;0;0.674;3.941;0;1.587;0.633
Vertbois Site 2;2.175;4.01;85.762;1.333;0;0.113;4.052;0;1.938;0.64
Vertbois Site 3;5.16;11.359;78.446;0.574;0;0.744;1.869;0;1.476;0.391
Vésale (UMONS);49.663;0.658;13.321;0.915;0;31.132;0;0;3.993;0.347
Vieille Haine;14.366;0.004;38.765;1.347;0;20.522;12.703;0;6.794;5.508
Village des abeilles (UMONS);54.701;0.582;12.718;0.533;0;27.951;0;0;3.268;0.255
